"SourceID","Source","URL","SearchBoundary","CleanExtraction","HouseUse","Decision"
"RFC3439","RFC 3439 - Some Internet Architectural Guidelines and Philosophy","https://www.rfc-editor.org/rfc/rfc3439","Query used no forbidden term","Complexity impedes scaling; feature richness can increase system complexity.","Keep doctrine wash as thin route enhancer, not heavy stage.","USE_AS_SUPPORT"
"LEAN","Lean Enterprise Institute - Lean Thinking and Practice","https://www.lean.org/lexicon-terms/lean-thinking-and-practice/","Query used no forbidden term","Specify value, map value stream, remove waste, create flow and pull, repeat improvement.","Start washes from value and remove or park non-value steps.","USE_AS_SUPPORT"
"NNG","Nielsen Norman Group - 10 Usability Heuristics","https://www.nngroup.com/articles/ten-usability-heuristics/","Query used no forbidden term","Extra information competes with relevant information and weakens visibility.","Treat extra rule text as visibility cost unless it helps the current proof.","USE_AS_SUPPORT"
"RAMS","Vitsoe - Dieter Rams Ten Principles","https://www.vitsoe.com/us/about/good-design","Query used no forbidden term","Good design is useful, understandable, honest, detailed, and as little as possible.","Make house structure useful and honest, not decorative ceremony.","USE_AS_SUPPORT"
"MAEDA","John Maeda - The Laws of Simplicity","https://lawsofsimplicity.com/los/law-10-the-one.html","Query used no forbidden term","Reduce, organize, save time, learn, preserve meaning, accept some things cannot simplify.","Use simplicity as compression, not erasure.","USE_AS_SUPPORT"
"BROOKS","Fred Brooks - No Silver Bullet copy","https://www.cin.ufpe.br/~phmb/ip/MaterialDeEnsino/BrooksNoSilverBullet.html","Query used no forbidden term","Separate essential difficulty from accidental difficulty; no single technique removes the essence.","Remove accidental ceremony before touching essential proof or meaning.","USE_AS_SUPPORT"
"TARPIT","Out of the Tar Pit","https://moss.cs.iit.edu/cs100/papers/out-of-the-tar-pit.pdf","Query used no forbidden term","Separate logic, state, control, essential complexity, and accidental complexity.","Separate goal, artifact, proof, authority, and next state before simplifying.","USE_AS_SUPPORT"
"PARNAS","Parnas - On the Criteria to Be Used in Decomposing Systems into Modules","https://citeseerx.ist.psu.edu/document?doi=5d752e29e29b42cc509417699a98d9dca8212c83&repid=rep1&type=pdf","Query used no forbidden term","Decomposition should improve flexibility and comprehensibility, allowing one module to be studied at a time.","Keep house lanes inspectable one at a time.","USE_AS_SUPPORT"
"SIMPLE_RULES","Stanford Engineering - Conquering Complexity With Simple Rules","https://engineering.stanford.edu/news/conquering-complexity-simple-rules","Query used no forbidden term","Useful simple rules are few, tailored, activity-specific, and leave discretion.","Prefer one to three task-specific rules over broad command piles.","USE_AS_SUPPORT"
"GALL","Gall's Law summary","https://lawsofsoftwareengineering.com/print/laws/galls-law/","Query used no forbidden term","Working complex systems usually evolve from working simple systems.","Protect the smallest working stage-one core before expansion.","SECONDARY_SUPPORT"
