"ID","Gate","Trigger","PassCondition","FailCondition","Evidence","Next","Source","Status"
"DWG-001","True Order Before Gate Run Gate","any gate wave is about to start","target object, blocked reducers, source stack, order sequence, wording standard, recursion return, and stop condition are named before the first gate moves","a gate runs because it is next, loud, exciting, or already present","ORDER_ROOM_TRUE_ORDER_20260524.md, ring order, receipt, hash manifest","Gate Wording Learning Gate","order topic cluster","refined candidate gate; support-only; requires separate promotion proof"
"DWG-002","Gate Wording Learning Gate","a gate has vague trigger, pass, fail, evidence, or next wording","the gate is worded as object, frame, available exit, internal completion, proof close, dirty defense, and next pass","the gate closes by tone, fluency, confidence, or social pressure","GATE_WORDING_LEARNING_ROOM_20260524.md and before/after gate row","Recursion Position Gate","wording-learning topic cluster","refined candidate gate; support-only; requires separate promotion proof"
"DWG-003","Recursion Position Gate","a gate output will enter another wave","object, source trail, proof state, return target, stop condition, and drift watch are named","recursion repeats without preserving object or stop condition","prewash wave ledger and recurrence fields","Two Cents Pass-Forward Gate","recursion topic cluster","refined candidate gate; support-only; requires separate promotion proof"
"DWG-004","Two Cents Pass-Forward Gate","a gate contributes during a wave","the gate adds one bounded note, records candidate need if any, and passes to the next gate without fighting neighbors","gate overwrites, argues, compresses, or tries to decide the whole wash alone","NO_CONSOLIDATOR_WAVE_CONTRIBUTIONS_5X.csv","Multi-Gate Same Object Gate","general wave protocol","refined candidate gate; support-only; requires separate promotion proof"
"DWG-005","Multi-Gate Same Object Gate","several gates fail or warn around one object","the shared object is promoted to signal status in the support wash and routed to proof/parking before more motion","each gate treats the failure as isolated noise","user update, topic summary, wave ledgers","House Over Assistant Movement Gate","awareness-alarm and movement-discipline clusters","refined candidate gate; support-only; requires separate promotion proof"
"DWG-006","House Over Assistant Movement Gate","assistant motion conflicts with house lane, proof lane, or active boundary","house structure controls movement; assistant slows, names object, and follows lane/proof before action","assistant awareness outruns movement discipline","ACTIVE_ANCHOR, AGENTS, user update, wash ledger","Parking Alarm Cluster Gate","movement-discipline topic cluster","refined candidate gate; support-only; requires separate promotion proof"
"DWG-007","Parking Alarm Cluster Gate","awareness routing, parking, alarm friction, and movement fidelity converge","treat the convergence as one object-cluster and choose park, proof, or stop before continuing","alarm friction is handled separately from placement and movement","topic summary and prewash repeated signals","Defined Gate Crunch Gate","parking and awareness-alarm clusters","refined candidate gate; support-only; requires separate promotion proof"
"DWG-008","Defined Gate Crunch Gate","consolidator has created idea clusters","idea clusters are rewritten into defined gates with trigger, pass, fail, evidence, next, and blocked uses","consolidator produces broad summaries but no usable gates","CONSOLIDATOR_IDEA_CRUNCH_WAVE_01.csv and DEFINED_GATE_CRUNCH_WAVE_02.csv","Consolidator Clean Wash Gate","gate-birth and consolidator-control clusters","refined candidate gate; support-only; requires separate promotion proof"
"DWG-009","Consolidator After Prewash Only Gate","consolidation is requested","CONSOLIDATOR runs only after no-consolidator wave evidence exists and only on repeated idea clusters","CONSOLIDATOR runs first or eats fresh gates","prewash summary, R600 exclusion proof, consolidator ledger","Consolidator Clean Wash Gate","consolidator-control cluster","refined candidate gate; support-only; requires separate promotion proof"
"DWG-010","Consolidator Clean Wash Gate","defined gates have been created from idea clusters","no missing front control, wording standard, recursion gate, pass-forward protocol, or clean-stop condition remains","clean wash is claimed while a required control is missing","defined gates list, clean wash checklist, final receipt","Final Save Gate","final judge cluster","refined candidate gate; support-only; requires separate promotion proof"
"DWG-011","Final Save Gate","wash artifacts are verified","local artifacts are hashed, then git save occurs only after user asks for both local and git save","files are committed before verification or unrelated user changes are swept in","hash manifest and git commit receipt","Clean Stop","save-boundary cluster","refined candidate gate; support-only; requires separate promotion proof"
