"Count","Severity","Species","FailureFamily","SuggestedStitch","Field"
"321","WATCH","RULE_OBJECT","ROOM WITHOUT RETURN","RETURN STITCH","ReturnOrNext"
"313","WATCH","RECEIPT_OBJECT","HASH WITHOUT BONE","BONE STITCH","ObjectProved"
"270","WATCH","RULE_OBJECT","ROUTELESS LIVING THING","MAP STITCH","RoutingReference"
"264","WATCH","RECEIPT_OBJECT","RECEIPT WITHOUT LIMIT","POLICY STITCH","Boundary"
"235","BLOCKER_ADJACENT_REVIEW","RECEIPT_OBJECT","HASH WITHOUT BONE","BONE STITCH","HashOrCommit"
"205","WATCH","RULE_OBJECT","TAG WITHOUT KEY","KEY STITCH","KeyOrTag"
"72","WATCH","HELPER_OBJECT","ROUTELESS LIVING THING","MAP STITCH","RoutingReference"
"54","BLOCKER_ADJACENT_REVIEW","HELPER_OBJECT","ROOM WITHOUT RETURN","RETURN STITCH","ReturnPath"
"51","WATCH","SCRIPT_OBJECT","TAG WITHOUT KEY","KEY STITCH","KeyOrTag"
"46","WATCH","RULE_OBJECT","FILE WITHOUT ROOM","ROOM STITCH","Status"
"45","WATCH","HELPER_OBJECT","ROOM WITHOUT RETURN","RETURN STITCH","ReturnOrNext"
"43","WATCH","SOFT_SUIT_OBJECT","ROUTELESS LIVING THING","MAP STITCH","RoutingReference"
"42","WATCH","HELPER_OBJECT","TAG WITHOUT KEY","KEY STITCH","KeyOrTag"
"39","WATCH","PROOF_OBJECT","ROOM WITHOUT RETURN","RETURN STITCH","ReturnOrNext"
"35","WATCH","SCRIPT_OBJECT","REPAIR WITHOUT TICKET","POLICY STITCH","RiskBoundary"
"34","WATCH","TODO_OBJECT","ROOM WITHOUT RETURN","RETURN STITCH","ReturnOrNext"
"33","WATCH","RULE_OBJECT","DISPOSITION GAP","DISPOSITION STITCH","Disposition"
"31","WATCH","SOFT_SUIT_OBJECT","TAG WITHOUT KEY","KEY STITCH","KeyOrTag"
"31","WATCH","RULE_OBJECT","RECEIPT WITHOUT LIMIT","POLICY STITCH","Boundary"
"31","WATCH","TODO_OBJECT","TAG WITHOUT KEY","KEY STITCH","KeyOrTag"
"30","WATCH","HELPER_OBJECT","HELPER CROWN LEAK","POLICY STITCH","Boundary"
"30","WATCH","SOFT_SUIT_OBJECT","ROOM WITHOUT RETURN","RETURN STITCH","ReturnOrNext"
"30","WATCH","SOURCE_ORE_OBJECT","TAG WITHOUT KEY","KEY STITCH","KeyOrTag"
"29","BLOCKER_ADJACENT_REVIEW","HELPER_OBJECT","HELPER WITHOUT ASSAY","HELPER STITCH","RouteEvidence"
"28","WATCH","SOURCE_ORE_OBJECT","ROUTELESS LIVING THING","MAP STITCH","RoutingReference"
"26","WATCH","TODO_OBJECT","ROUTELESS LIVING THING","MAP STITCH","RoutingReference"
"24","WATCH","SOURCE_ORE_OBJECT","ROOM WITHOUT RETURN","RETURN STITCH","ReturnOrNext"
"24","WATCH","FIT_REPORT_OBJECT","ROUTELESS LIVING THING","MAP STITCH","RoutingReference"
"24","WATCH","SCRIPT_OBJECT","ROOM WITHOUT RETURN","RETURN STITCH","ReturnOrNext"
"23","WATCH","LEDGER_OBJECT","ROOM WITHOUT RETURN","RETURN STITCH","ReturnOrNext"
"20","WATCH","TEMPLATE_OBJECT","ROUTELESS LIVING THING","MAP STITCH","RoutingReference"
"18","WATCH","FIT_REPORT_OBJECT","ROOM WITHOUT RETURN","RETURN STITCH","ReturnOrNext"
"17","WATCH","TODO_OBJECT","RECEIPT WITHOUT LIMIT","POLICY STITCH","Boundary"
"16","WATCH","LEDGER_OBJECT","TAG WITHOUT KEY","KEY STITCH","KeyOrTag"
"16","WATCH","SCRIPT_OBJECT","DISPOSITION GAP","DISPOSITION STITCH","Disposition"
"14","WATCH","TODO_OBJECT","LEDGER WITHOUT STATE","CURRENTNESS STITCH","WhyNext"
"14","WATCH","MAP_OBJECT","KEY WITHOUT DOOR","MAP STITCH","Toolbelt"
"13","WATCH","RULE_OBJECT","CURRENTNESS SPELL","CURRENTNESS STITCH","Currentness"
"13","WATCH","SCRIPT_OBJECT","CURRENTNESS SPELL","CURRENTNESS STITCH","Currentness"
"12","WATCH","SOURCE_ORE_OBJECT","ROOM WITHOUT RETURN","RETURN STITCH","ReturnOrDigest"
"11","WATCH","TEMPLATE_OBJECT","TAG WITHOUT KEY","KEY STITCH","KeyOrTag"
"10","WATCH","FIT_REPORT_OBJECT","TAG WITHOUT KEY","KEY STITCH","KeyOrTag"
"10","WATCH","HELPER_OBJECT","DISPOSITION GAP","DISPOSITION STITCH","Disposition"
"10","WATCH","TEMPLATE_OBJECT","RECEIPT WITHOUT LIMIT","POLICY STITCH","Boundary"
"10","WATCH","RULE_OBJECT","HASH WITHOUT BONE","BONE STITCH","ProofOrSource"
"10","WATCH","SOFT_SUIT_OBJECT","DISPOSITION GAP","DISPOSITION STITCH","Disposition"
"9","WATCH","TEMPLATE_OBJECT","ROOM WITHOUT RETURN","RETURN STITCH","ReturnOrNext"
"9","WATCH","SCRIPT_OBJECT","FILE WITHOUT ROOM","ROOM STITCH","Purpose"
"9","WATCH","LEDGER_OBJECT","RECEIPT WITHOUT LIMIT","POLICY STITCH","Boundary"
"8","WATCH","MAP_OBJECT","ROUTELESS LIVING THING","MAP STITCH","RoutingReference"
"7","WATCH","SOURCE_ORE_OBJECT","SOURCE AUTHORITY LEAK","POLICY STITCH","ForbiddenUse"
"6","WATCH","MAP_OBJECT","ROOM WITHOUT RETURN","RETURN STITCH","ReturnOrNext"
"6","BLOCKER_ADJACENT_REVIEW","TODO_OBJECT","ROOM WITHOUT RETURN","RETURN STITCH","ReturnTrigger"
"6","WATCH","TEMPLATE_OBJECT","DISPOSITION GAP","DISPOSITION STITCH","Disposition"
"6","WATCH","MAP_OBJECT","TAG WITHOUT KEY","KEY STITCH","KeyOrTag"
"6","WATCH","SOFT_SUIT_OBJECT","FILE WITHOUT ROOM","ROOM STITCH","WearLine"
"5","WATCH","ANCHOR_OBJECT","TAG WITHOUT KEY","KEY STITCH","KeyOrTag"
"5","WATCH","FIT_REPORT_OBJECT","ROOM WITHOUT RETURN","RETURN STITCH","Next"
"5","WATCH","FIT_REPORT_OBJECT","DISPOSITION GAP","DISPOSITION STITCH","Disposition"
"5","WATCH","TEMPLATE_OBJECT","ROUTELESS LIVING THING","RETURN STITCH","Fields"
"4","WATCH","FIT_REPORT_OBJECT","RECEIPT WITHOUT LIMIT","POLICY STITCH","Boundary"
"4","WATCH","ANCHOR_OBJECT","ROOM WITHOUT RETURN","RETURN STITCH","ReturnOrNext"
"4","WATCH","HELPER_OBJECT","CURRENTNESS SPELL","CURRENTNESS STITCH","Currentness"
"4","WATCH","PARKED_OBJECT","ROOM WITHOUT RETURN","RETURN STITCH","ReturnOrNext"
"3","WATCH","PARKED_OBJECT","TAG WITHOUT KEY","KEY STITCH","KeyOrTag"
"3","WATCH","KEY_OBJECT","KEY WITHOUT DOOR","KEY STITCH","ForbiddenUse"
"3","WATCH","KEY_OBJECT","ROOM WITHOUT RETURN","RETURN STITCH","ReturnOrNext"
"3","WATCH","HELPER_OBJECT","HELPER WITHOUT ASSAY","HELPER STITCH","Task"
"3","WATCH","MAP_OBJECT","ROOM WITHOUT RETURN","RETURN STITCH","Return"
"2","WATCH","STATUS_OBJECT","TAG WITHOUT KEY","KEY STITCH","KeyOrTag"
"2","WATCH","TEMPLATE_OBJECT","CURRENTNESS SPELL","CURRENTNESS STITCH","Currentness"
"2","WATCH","ANCHOR_OBJECT","CURRENTNESS SPELL","CURRENTNESS STITCH","Currentness"
"2","WATCH","ANCHOR_OBJECT","DISPOSITION GAP","DISPOSITION STITCH","Disposition"
"2","WATCH","PROOF_OBJECT","DISPOSITION GAP","DISPOSITION STITCH","Disposition"
"2","WATCH","SOFT_SUIT_OBJECT","CURRENTNESS SPELL","CURRENTNESS STITCH","Currentness"
"2","WATCH","PROOF_OBJECT","CURRENTNESS SPELL","CURRENTNESS STITCH","Currentness"
"2","WATCH","FIT_REPORT_OBJECT","LEDGER WITHOUT STATE","CURRENTNESS STITCH","Verdict"
"2","WATCH","FIT_REPORT_OBJECT","CURRENTNESS SPELL","CURRENTNESS STITCH","Currentness"
"1","WATCH","STATUS_OBJECT","ROOM WITHOUT RETURN","RETURN STITCH","ReturnOrNext"
"1","WATCH","FRONT_DOOR_OBJECT","TAG WITHOUT KEY","KEY STITCH","KeyOrTag"
"1","WATCH","SOFT_SUIT_OBJECT","RECEIPT WITHOUT LIMIT","POLICY STITCH","DoNotBoundary"
"1","WATCH","KEY_OBJECT","ROUTELESS LIVING THING","MAP STITCH","RoutingReference"
