"Count","RepairWave","Severity","FailureFamily","SuggestedStitch"
"538","WAVE_03_RETURN_TRIGGERS_AND_TODOS","WATCH","ROOM WITHOUT RETURN","RETURN STITCH"
"389","WAVE_04_KEY_LEDGER_MAP_ROUTES","WATCH","ROUTELESS LIVING THING","MAP STITCH"
"371","WAVE_04_KEY_LEDGER_MAP_ROUTES","WATCH","TAG WITHOUT KEY","KEY STITCH"
"323","WAVE_05_PROOF_HASH_RECEIPT_LIMITS","WATCH","HASH WITHOUT BONE","BONE STITCH"
"309","WAVE_05_PROOF_HASH_RECEIPT_LIMITS","WATCH","RECEIPT WITHOUT LIMIT","POLICY STITCH"
"234","WAVE_05_PROOF_HASH_RECEIPT_LIMITS","BLOCKER_ADJACENT_REVIEW","HASH WITHOUT BONE","BONE STITCH"
"72","WAVE_02_HELPER_CONTRACTS","WATCH","ROUTELESS LIVING THING","MAP STITCH"
"54","WAVE_02_HELPER_CONTRACTS","BLOCKER_ADJACENT_REVIEW","ROOM WITHOUT RETURN","RETURN STITCH"
"52","WAVE_08_RULE_SUIT_FIT_BOUNDARIES","WATCH","FILE WITHOUT ROOM","ROOM STITCH"
"47","WAVE_08_RULE_SUIT_FIT_BOUNDARIES","WATCH","DISPOSITION GAP","DISPOSITION STITCH"
"45","WAVE_02_HELPER_CONTRACTS","WATCH","ROOM WITHOUT RETURN","RETURN STITCH"
"42","WAVE_02_HELPER_CONTRACTS","WATCH","TAG WITHOUT KEY","KEY STITCH"
"35","WAVE_10_REVIEW_ONLY_MISC","WATCH","REPAIR WITHOUT TICKET","POLICY STITCH"
"31","WAVE_03_RETURN_TRIGGERS_AND_TODOS","WATCH","TAG WITHOUT KEY","KEY STITCH"
"30","WAVE_02_HELPER_CONTRACTS","WATCH","HELPER CROWN LEAK","POLICY STITCH"
"29","WAVE_02_HELPER_CONTRACTS","BLOCKER_ADJACENT_REVIEW","HELPER WITHOUT ASSAY","HELPER STITCH"
"25","WAVE_03_RETURN_TRIGGERS_AND_TODOS","WATCH","ROUTELESS LIVING THING","MAP STITCH"
"18","WAVE_09_CURRENTNESS_DISPOSITION","WATCH","DISPOSITION GAP","DISPOSITION STITCH"
"17","WAVE_08_RULE_SUIT_FIT_BOUNDARIES","WATCH","CURRENTNESS SPELL","CURRENTNESS STITCH"
"17","WAVE_03_RETURN_TRIGGERS_AND_TODOS","WATCH","RECEIPT WITHOUT LIMIT","POLICY STITCH"
"15","WAVE_09_CURRENTNESS_DISPOSITION","WATCH","CURRENTNESS SPELL","CURRENTNESS STITCH"
"14","WAVE_04_KEY_LEDGER_MAP_ROUTES","WATCH","KEY WITHOUT DOOR","MAP STITCH"
"14","WAVE_03_RETURN_TRIGGERS_AND_TODOS","WATCH","LEDGER WITHOUT STATE","CURRENTNESS STITCH"
"12","WAVE_06_SOURCE_ORE_AUTHORITY_BOUNDARIES","WATCH","ROOM WITHOUT RETURN","RETURN STITCH"
"10","WAVE_02_HELPER_CONTRACTS","WATCH","DISPOSITION GAP","DISPOSITION STITCH"
"9","WAVE_10_REVIEW_ONLY_MISC","WATCH","FILE WITHOUT ROOM","ROOM STITCH"
"9","WAVE_04_KEY_LEDGER_MAP_ROUTES","WATCH","RECEIPT WITHOUT LIMIT","POLICY STITCH"
"7","WAVE_06_SOURCE_ORE_AUTHORITY_BOUNDARIES","WATCH","SOURCE AUTHORITY LEAK","POLICY STITCH"
"6","WAVE_01_CURRENT_SPINE_OBJECTS","WATCH","ROUTELESS LIVING THING","MAP STITCH"
"6","WAVE_03_RETURN_TRIGGERS_AND_TODOS","BLOCKER_ADJACENT_REVIEW","ROOM WITHOUT RETURN","RETURN STITCH"
"6","WAVE_07_TEMPLATES_RETURN_FIELDS","WATCH","DISPOSITION GAP","DISPOSITION STITCH"
"5","WAVE_08_RULE_SUIT_FIT_BOUNDARIES","WATCH","ROOM WITHOUT RETURN","RETURN STITCH"
"5","WAVE_04_KEY_LEDGER_MAP_ROUTES","WATCH","ROUTELESS LIVING THING","RETURN STITCH"
"4","WAVE_02_HELPER_CONTRACTS","WATCH","CURRENTNESS SPELL","CURRENTNESS STITCH"
"3","WAVE_02_HELPER_CONTRACTS","WATCH","HELPER WITHOUT ASSAY","HELPER STITCH"
"3","WAVE_04_KEY_LEDGER_MAP_ROUTES","WATCH","ROOM WITHOUT RETURN","RETURN STITCH"
"2","WAVE_05_PROOF_HASH_RECEIPT_LIMITS","WATCH","DISPOSITION GAP","DISPOSITION STITCH"
"2","WAVE_05_PROOF_HASH_RECEIPT_LIMITS","WATCH","CURRENTNESS SPELL","CURRENTNESS STITCH"
"2","WAVE_07_TEMPLATES_RETURN_FIELDS","WATCH","CURRENTNESS SPELL","CURRENTNESS STITCH"
"2","WAVE_01_CURRENT_SPINE_OBJECTS","WATCH","ROOM WITHOUT RETURN","RETURN STITCH"
"2","WAVE_04_KEY_LEDGER_MAP_ROUTES","WATCH","LEDGER WITHOUT STATE","CURRENTNESS STITCH"
"2","WAVE_04_KEY_LEDGER_MAP_ROUTES","WATCH","KEY WITHOUT DOOR","KEY STITCH"
"1","WAVE_01_CURRENT_SPINE_OBJECTS","WATCH","RECEIPT WITHOUT LIMIT","POLICY STITCH"
"1","WAVE_01_CURRENT_SPINE_OBJECTS","WATCH","KEY WITHOUT DOOR","KEY STITCH"
"1","WAVE_01_CURRENT_SPINE_OBJECTS","WATCH","DISPOSITION GAP","DISPOSITION STITCH"
"1","WAVE_01_CURRENT_SPINE_OBJECTS","BLOCKER_ADJACENT_REVIEW","HASH WITHOUT BONE","BONE STITCH"
