"Term"	"Hits"
"Desktop"	"116485"
"path"	"55168"
"recursive"	"11166"
"parking"	"6368"
"TODO"	"6023"
"proved"	"4542"
"PowerShell"	"3892"
"adopt"	"3359"
"porch"	"2457"
"installed"	"1868"
"adapt"	"1578"
"mirror"	"1293"
"source ore"	"650"
"generated"	"438"
"Done is not PASS"	"405"
"Final Judge"	"372"
"false PASS"	"324"
"failed hook"	"287"
"return trigger"	"203"
"mule handoff"	"153"
"active boss"	"136"
"active anchor"	"117"
"source custody"	"111"
"weakest link"	"98"
"delivery surface"	"74"
"A rule existing is not proof"	"42"
"rule did not fire"	"39"
"boss cycle"	"31"
"state transfer"	"21"
"home placement"	"14"
"mule boundary"	"11"
"current work queue"	"8"
"Saved Means Shelved"	"8"
"premature PASS"	"1"
