"TopLevel"	"Files"	"Bytes"
"_MERGE_AUDIT"	"4"	"1769128"
"ACTIVE_GUIDES"	"3"	"574771"
"BRAIN"	"9"	"24110"
"BRAIN_LEARNING"	"143"	"393432"
"CleanMilkChecker"	"34"	"45555"
"CleanSeedsBuild"	"697"	"25282679"
"COMMAND_CENTER"	"415"	"58732361"
"CORE_GUIDE_BACKUPS"	"3"	"222242"
"DECISION_NOTES"	"5"	"5692"
"GPT_Prompts"	"5"	"39690"
"GPT_PROMPTS_CUSTODY"	"149"	"2772518"
"HANDOFFS"	"1"	"4896"
"HOUSE_WORK"	"180"	"861559"
"INSTALLERS"	"2"	"34865"
"LEARNING_ROOT"	"16"	"37061"
"LINKED_PAIRS"	"1"	"1708"
"MAIL_ROOM"	"36"	"62238"
"MEDIA_INTAKE"	"3"	"5202153"
"MULE_LOCAL_ONLY"	"8"	"13553"
"MULE_OUTBOX"	"5"	"63418"
"MULE_WORKSHOP"	"56"	"32402908"
"PORCH_SORTING_TABLE"	"37"	"3440985"
"PORCH_WATCHER"	"22"	"702393"
"PROOF_HISTORY"	"705"	"10118830"
"PUBLIC_NOTES"	"97"	"624095"
"PUBLIC_PROOF_PACKETS"	"28"	"25963879"
"RESEARCH_PACKETS"	"4"	"106280"
"REVIEW_PACKETS"	"2"	"50398"
"RULE_INTAKE"	"4"	"5443"
"SOURCE_ORE"	"19"	"191796"
"SOURCE_TRANSFER"	"131"	"1950510"
"TEST_LANES"	"10"	"21661"
"TOOL_PACKS"	"23"	"3485072"
"TOOLS"	"4"	"50383"
"YT_TRANSCRIPTS"	"61"	"1201463"
