id,item,state,owner,priority_score,reason_not_active_now,return_trigger,proof_need,home,decision
PTP-001,"Resolve accepted Soft Suit home path","WAITING_FOR_USER","USER_DECISION_BELL",915,"Actual local home and expected documented home differ","User chooses actual Desktop/123 home or asks for path normalization","Read-only Test-Path/hash comparison","Issue Review / Bell","USER_DECISION_BELL"
PTP-002,"Prepare READY map/ledger candidate with compact RECESS gate","BLOCKED_UNTIL_PATH_DECISION","SOFT_SUIT_DRESSING_ROOM",875,"Path/home must be known before Soft Suit surface prep","PTP-001 closed","Diff against CURRENT, no-CURRENT proof, READY hash","Dressing Room","BLOCKED_IDEA_FOR_NOW"
PTP-003,"Ledger priority queue schema","DIGESTED_TO_RULE_CANDIDATE","IDEA_LEDGER",740,"Good but should not create READY until path/home decision","PTP-001 closed or user asks ledger-only READY prep","Ledger candidate row check","Dressing Room","PRIORITY_TODO"
PTP-004,"Black Hole Digest compact map rule","DIGESTED_TO_RULE_CANDIDATE","MAP",535,"Should be merged with existing clean-bloat rule, not duplicated blindly","PTP-001 closed and candidate diff approved","Map section diff and bloat reduction check","Dressing Room","PRIORITY_TODO"
PTP-005,"Support mirrors cleanup or leave-in-place decision","PARK / MULE_REVIEW","CURRENT_USER_ONLY",490,"Inside CURRENT, therefore user-only to move","User authorizes CURRENT cleanup or explicitly accepts support-only location","Read-only listing and current map support rule","CURRENT support pointer","MULE_REVIEW"
PTP-006,"Public URL route cards","PRIORITY_LATER","PROJECT_URL_PUBLIC_SAFE_MAP",495,"No publish/public authorization","User asks public URL update","Privacy scan and local proof pointer","Local-only public notes","PARK"
PTP-007,"Ambiguous Downloads candidate review","PARK / ISSUE_REVIEW","DOWNLOADS_CANDIDATE_REVIEW",245,"Guessing by name can move unrelated files","User asks Downloads triage with scope","Local inventory and exact file review","Existing Downloads or custody review","PARK"
PTP-008,"Full algorithm overflow","ARCHIVE / FUTURE","ALGORITHM_MATRIX",180,"Not needed for current Soft Suit flow","Bulk automation or complex workflow requested","Fit matrix review","Algorithm matrix","ARCHIVE"
PTP-009,"Root dropped package cleanup","PRIORITY_TODO","FRONT_GATE_START_HERE",410,"Source should remain unless cleanup is authorized","User asks root/front-door cleanup","Hash and receipt if moved/copied","Root source pointer or source work order","PRIORITY_TODO"

