object,starting_state,ending_state,home,owner,priority,proof,return_trigger,closed
NEW_PACKAGE_VS_OLD_RUN_COMPARISON.md,PLANNED,CREATED,"MULE_WORKSHOP run folder","LOCAL_TRUTH_MULE_ROOM",700,"file created in run folder","Use for comparison review",true
GOOD_TO_MERGE_LIST.md,PLANNED,CREATED,"MULE_WORKSHOP run folder","GOOD_CHIP_RECOVERY",700,"file created in run folder","Use after user path/home decision",true
SET_ASIDE_NOT_THROW_AWAY_LIST.md,PLANNED,CREATED,"MULE_WORKSHOP run folder","ISSUE_REVIEW",700,"file created in run folder","Return when listed trigger fires",true
RECESS_PRIORITY_CANDIDATE_LEDGER.csv,PLANNED,CREATED,"MULE_WORKSHOP run folder","IDEA_LEDGER",740,"file created in run folder","Use for future ledger candidate",true
PRIORITY_TODO_PARKING_LEDGER.csv,PLANNED,CREATED,"MULE_WORKSHOP run folder","ISSUE_REVIEW",740,"file created in run folder","Use when parked item returns",true
BLACK_HOLE_DIGEST.md,PLANNED,CREATED,"MULE_WORKSHOP run folder","CLEAN_BLOAT_HARVEST",535,"file created in run folder","Use for digest candidate",true
SOFT_SUIT_DRESSING_ROOM_PLAN.md,PLANNED,CREATED,"MULE_WORKSHOP run folder","SOFT_SUIT_DRESSING_ROOM",910,"file created in run folder","Use before Soft Suit surface changes",true
READY_CANDIDATE_DECISION_REPORT.md,PLANNED,CREATED,"MULE_WORKSHOP run folder","READY_TO_DROP_IN_CHAT",875,"file created in run folder","User path/home decision",true
SAME_SHAPE_AFTER_WALK_REVIEW.md,PLANNED,CREATED,"MULE_WORKSHOP run folder","PROOF_FINAL_JUDGE",540,"file created in run folder","Use to compare after future candidate prep",true
FINAL_REVIEW_NOT_PASS_JUDGE.md,PLANNED,CREATED,"MULE_WORKSHOP run folder","FINAL_JUDGE",900,"file created in run folder","Close blockers before PASS",true
GPT_Prompts actual path,BLOCKED_OR_AMBIGUOUS,WAITING_FOR_USER,"Issue Review / Bell","USER_DECISION_BELL",915,"Test-Path actual true, expected Desktop-level false","User chooses accepted home or path-normalization",false
READY_TO_DROP_IN_CHAT,EMPTY,EMPTY,"C:\Users\13527\Desktop\123\GPT_Prompts\READY_TO_DROP_IN_CHAT","READY",875,"directory listing empty","User path/home decision before candidate prep",true
CURRENT,READ_ONLY,READ_ONLY,"C:\Users\13527\Desktop\123\GPT_Prompts\CURRENT","CURRENT_USER_ONLY",910,"no write performed","User-only for any movement",true
Root dropped package,SOURCE_DROP,SOURCE_PRESERVED,"C:\Users\13527\Desktop\123","FRONT_GATE_START_HERE",410,"source path still exists","User asks root/front-door cleanup",false

