"Item","Captured","SavedIn","Note"
"Rule pile correction","YES","BRAIN_LEARNING/HOUSE_KEYRING_GRAPH_RULE_20260528.md","Bad pile is unkeyed mass; good pack is keyed mapped toolset."
"Parent/subkey/child-key model","YES","BRAIN_LEARNING/HOUSE_KEYRING_GRAPH_RULE_20260528.md","Parent family, subkey operation, child atomic rule."
"Clean separation plus keys","YES","BRAIN_LEARNING/HOUSE_KEYRING_GRAPH_RULE_20260528.md","Keys do not replace lanes; they make lanes navigable."
"Hash/version distinction","YES","BRAIN_LEARNING/HOUSE_KEYRING_GRAPH_RULE_20260528.md","Hash identifies exact version, not quality or authority."
"Keyrings","YES","BRAIN_LEARNING/HOUSE_KEYRING_GRAPH_RULE_20260528.md","Grouped keys by lane or operation."
"Chains","YES","BRAIN_LEARNING/HOUSE_KEYRING_GRAPH_RULE_20260528.md","Ordered dependency/workflow."
"Snap-links","YES","BRAIN_LEARNING/HOUSE_KEYRING_GRAPH_RULE_20260528.md","Reversible typed connections; connection is not merger."
"Links that snap","YES","BRAIN_LEARNING/HOUSE_KEYRING_GRAPH_RULE_20260528.md","Attach/detach/expire/promote later without permanent glue."
"All major house objects","YES","BRAIN_LEARNING/HOUSE_KEYRING_GRAPH_RULE_20260528.md","Rules, tools, gates, sources, receipts, helpers, batches, parked ideas, maps, proof files, Soft Suit, deprecated items."
"Capability keys","YES","BRAIN_LEARNING/HOUSE_KEYRING_GRAPH_RULE_20260528.md","Bounded action; no ambient authority."
"Shoe-fit import","YES","BRAIN_LEARNING/HOUSE_KEYRING_GRAPH_RULE_20260528.md","Borrow anything if it fits; outside ideas are source ore first."
"House Object Graph","YES","BRAIN_LEARNING/HOUSE_KEYRING_GRAPH_RULE_20260528.md","Objects with relations, not just files or rules."
"House Object Card schema","YES","HOUSE_WORK/WORK_SHED/TEMPLATES/HOUSE_OBJECT_CARD_TEMPLATE_20260528.md","Reusable object and link contract template."
"Proof states","YES","BRAIN_LEARNING/HOUSE_KEYRING_GRAPH_RULE_20260528.md","RAW through CLEAN_CLOSED ladder."
"Lifecycle states","YES","BRAIN_LEARNING/HOUSE_KEYRING_GRAPH_RULE_20260528.md","ACTIVE, SOFT_SUIT, CANDIDATE, PARKED, BLOCKED, SUPERSEDED, DEPRECATED, DEAD_KEY, ARCHIVED_PROOF_ONLY."
"Typed link list","YES","BRAIN_LEARNING/HOUSE_KEYRING_GRAPH_RULE_20260528.md","SUPPORTS, DERIVED_FROM, DEPENDS_ON, USES_TOOL, PROVES, BLOCKED_BY, CONFLICTS_WITH, SUPERSEDES, PARKED_WITH, OWNER_OF, SNAP_ONLY, RETIRE_AFTER, WHY_LINK."
"Dead keys","YES","BRAIN_LEARNING/HOUSE_KEYRING_GRAPH_RULE_20260528.md","Retired keys remain traceable but not live."
"New room/tool candidates","YES","HOUSE_WORK/WORK_SHED/SORTING_BENCH/HOUSE_KEYRING_GRAPH_HISTORY_AND_FIT_REPORT_20260528.md","Key Forge, Keyring Rack, Chain Loom, Snap-Link Board, Capability Locksmith, Proof Mesh, Dead-Key Graveyard, Why-Link Desk, Shoe-Fit Bench."
"Outside idea adaptation","YES","HOUSE_WORK/WORK_SHED/SORTING_BENCH/HOUSE_KEYRING_GRAPH_HISTORY_AND_FIT_REPORT_20260528.md","Content addressing, Merkle DAG, labels/annotations, owner/finalizer, PROV, SLSA/in-toto, JSON-LD/SKOS/SHACL, dependency query, OpenAPI links, semantic conventions, object capabilities, Zettelkasten."
"Active test lane","YES","HOUSE_WORK/WORK_SHED/INDEXES/HOUSE_KEYRING_GRAPH_MAP_V1_20260528.md","Source-to-House Intake V2 focused extraction chain."
"Do not overbuild","YES","BRAIN_LEARNING/HOUSE_KEYRING_GRAPH_RULE_20260528.md","No graph database, no universal mapper, no keying every sentence."
"Snap-link not doctrine","YES","BRAIN_LEARNING/HOUSE_KEYRING_GRAPH_RULE_20260528.md","No hidden authority merge."
"Key possession not broad authority","YES","BRAIN_LEARNING/HOUSE_KEYRING_GRAPH_RULE_20260528.md","Capability boundaries required."
"Current next push","YES","HOUSE_WORK/WORK_SHED/INDEXES/HOUSE_KEYRING_GRAPH_MAP_V1_20260528.md","Small map for Source-to-House Intake V2, then test manually before tool."
